Station_ID,Station_Name,Available_Lines,Borough,Physical_Line
D18,23 St,F M,M,6th Av - Culver
130,23 St,1,M,Broadway - 7Av
634,23 St,6,M,Lexington Av
A30,23 St,C E,M,8th Av - Fulton St
R19,23 St,R W,M,Broadway - Brighton
104,231 St,1,Bx,Broadway - 7Av
205,233 St,2 5,Bx,Lenox - White Plains Rd
103,238 St,1,Bx,Broadway - 7Av
B22,25 Av,D,Bk,West End
R35,25 St,R,Bk,4th Av
129,28 St,1,M,Broadway - 7Av
R18,28 St,R W,M,Broadway - Brighton
633,28 St,6,M,Lexington Av
L05,3 Av,L,M,Canarsie
619,3 Av-138 St,6,Bx,Pelham
221,3 Av-149 St,2 5,Bx,Lenox - White Plains Rd
R04,30 Av,N W,Q,Astoria
632,33 St,6,M,Lexington Av
716,33 St-Rawson St,7,Q,Flushing
R17,34 St-Herald Sq,N Q R W,M,Broadway - Brighton
D17,34 St-Herald Sq,B D F M,M,6th Av - Culver
726,34 St-Hudson Yards,7,M,Flushing
128,34 St-Penn Station,1 2 3,M,Broadway - 7Av
A28,34 St-Penn Station,A C E,M,8th Av - Fulton St
R06,36 Av,N W,Q,Astoria
G20,36 St,M R,Q,Queens Blvd
R36,36 St,D N R,Bk,4th Av
R08,39 Av-Dutch Kills,N W,Q,Astoria
F23,4 Av-9 St,F G,Bk,6th Av - Culver
R33,4 Av-9 St,R,Bk,4th Av
715,40 St-Lowery St,7,Q,Flushing
D16,42 St-Bryant Pk,B D F M,M,6th Av - Culver
A27,42 St-Port Authority Bus Terminal,A C E,M,8th Av - Fulton St
R39,45 St,R,Bk,4th Av
G18,46 St,M R,Q,Queens Blvd
714,46 St-Bliss St,7,Q,Flushing
D15,47-50 Sts-Rockefeller Ctr,B D F M,M,6th Av - Culver
R15,49 St,N R W,M,Broadway - Brighton
724,5 Av,7,M,Flushing
F12,5 Av/53 St,E F,M,Queens Blvd
R13,5 Av/59 St,N R W,M,Astoria
A25,50 St,C E,M,8th Av - Fulton St
126,50 St,1,M,Broadway - 7Av
B14,50 St,D,Bk,West End
630,51 St,6,M,Lexington Av
713,52 St,7,Q,Flushing
R40,53 St,R,Bk,4th Av
B15,55 St,D,Bk,West End
B10,57 St,M,M,6th Av - Culver
R14,57 St-7 Av,N Q R W,M,Broadway - Brighton
629,59 St,4 5 6,M,Lexington Av
R41,59 St,N R,Bk,4th Av
A24,59 St-Columbus Circle,A C B D,M,8th Av - Fulton St
125,59 St-Columbus Circle,1,M,Broadway - 7Av
L02,6 Av,L,M,Canarsie
712,61 St-Woodside,7,Q,Flushing
B16,62 St,D,Bk,West End
G10,63 Dr-Rego Park,M R,Q,Queens Blvd
G15,65 St,M R,Q,Queens Blvd
124,66 St-Lincoln Center,1,M,Broadway - 7Av
G09,67 Av,M R,Q,Queens Blvd
628,68 St-Hunter College,6,M,Lexington Av
711,69 St,7,Q,Flushing
D25,7 Av,B Q,Bk,Broadway - Brighton
F24,7 Av,F G,Bk,6th Av - Culver
D14,7 Av,B D E,M,Queens Blvd
B17,71 St,D,Bk,West End
A22,72 St,B C,M,8th Av - Fulton St
123,72 St,1 2 3,M,Broadway - 7Av
Q03,72 St,Q,M,Second Av
710,74 St-Broadway,7,Q,Flushing
F07,75 Av,E F,Q,Queens Blvd
J17,75 St-Elderts Ln,J Z,Q,Jamaica
627,77 St,6,M,Lexington Av
R43,77 St,R,Bk,4th Av
122,79 St,1,M,Broadway - 7Av
B18,79 St,D,Bk,West End
N02,8 Av,N,Bk,Sea Beach
L01,8 Av,L,M,Canarsie
R21,8 St-NYU,R W,M,Broadway - Brighton
A59,80 St,A,Q,Liberty Av
A21,81 St-Museum of Natural History,B C,M,8th Av - Fulton St
709,82 St-Jackson Hts,7,Q,Flushing
J16,85 St-Forest Pkwy,J,Q,Jamaica
121,86 St,1,M,Broadway - 7Av
Q04,86 St,Q,M,Second Av
A20,86 St,B C,M,8th Av - Fulton St
N10,86 St,N,Bk,Sea Beach
R44,86 St,R,Bk,4th Av
626,86 St,4 5 6,M,Lexington Av
A60,88 St,A,Q,Liberty Av
B12,9 Av,D,Bk,West End
708,90 St-Elmhurst Av,7,Q,Flushing
120,96 St,1 2 3,M,Broadway - 7Av
625,96 St,6,M,Lexington Av
Q05,96 St,Q,M,Second Av
A19,96 St,B C,M,8th Av - Fulton St
J24,Alabama Av,J Z,Bk,Jamaica
210,Allerton Av,2 5,Bx,Lenox - White Plains Rd
S17,Annadale,SIR,SI,Staten Island
H01,Aqueduct Racetrack,A,Q,Rockaway
H02,Aqueduct-N Conduit Av,A,Q,Rockaway
S11,Arthur Kill,SIR,SI,Staten Island
636,Astor Pl,6,M,Lexington Av
R03,Astoria Blvd,N W,Q,Astoria
R01,Astoria-Ditmars Blvd,N W,Q,Astoria
L24,Atlantic Av,L,Bk,Canarsie
D24,Atlantic Av-Barclays Ctr,B Q,Bk,Broadway - Brighton
235,Atlantic Av-Barclays Ctr,2 3 4 5,Bk,Eastern Pky
R31,Atlantic Av-Barclays Ctr,D N R,Bk,4th Av
D32,Avenue H,Q,Bk,Broadway - Brighton
F31,Avenue I,F,Bk,6th Av - Culver
D33,Avenue J,Q,Bk,Broadway - Brighton
D34,Avenue M,Q,Bk,Broadway - Brighton
F33,Avenue N,F,Bk,6th Av - Culver
F34,Avenue P,F,Bk,6th Av - Culver
F36,Avenue U,F,Bk,6th Av - Culver
N09,Avenue U,N,Bk,Sea Beach
D37,Avenue U,Q,Bk,Broadway - Brighton
F38,Avenue X,F,Bk,6th Av - Culver
B23,Bay 50 St,D,Bk,West End
N07,Bay Pkwy,N,Bk,Sea Beach
B21,Bay Pkwy,D,Bk,West End
F32,Bay Pkwy,F,Bk,6th Av - Culver
R42,Bay Ridge Av,R,Bk,4th Av
R45,Bay Ridge-95 St,R,Bk,4th Av
S20,Bay Terrace,SIR,SI,Staten Island
502,Baychester Av,5,Bx,Dyre Av
H14,Beach 105 St,A S,Q,Rockaway
H10,Beach 25 St,A,Q,Rockaway
H09,Beach 36 St,A,Q,Rockaway
H08,Beach 44 St,A,Q,Rockaway
H07,Beach 60 St,A,Q,Rockaway
H06,Beach 67 St,A,Q,Rockaway
H12,Beach 90 St,A S,Q,Rockaway
H13,Beach 98 St,A S,Q,Rockaway
L08,Bedford Av,L,Bk,Canarsie
D03,Bedford Park Blvd,B D,Bx,Concourse
405,Bedford Park Blvd-Lehman College,4,Bx,Jerome Av
G33,Bedford-Nostrand Avs,G,Bk,Crosstown
F20,Bergen St,F G,Bk,6th Av - Culver
236,Bergen St,2 3,Bk,Eastern Pky
D29,Beverley Rd,Q,Bk,Broadway - Brighton
245,Beverly Rd,2 5,Bk,Nostrand
637,Bleecker St,6,M,Lexington Av
423,Borough Hall,4 5,Bk,Eastern Pky
232,Borough Hall,2 3,Bk,Clark St
S04,Botanic Garden,S,Bk,Franklin Shuttle
M19,Bowery,J Z,M,Jamaica
